review,aspect
"O hotel é perto de todos os pontos principais de Paris, cercado de estações de metrô, dá para fazer tudo a pé.  O Hotel é charmoso, aconselho ficar nos quartos no piso superior, perto de telhado, típica arquitetura parisiense. O café da manhã é simples, mas na medida certa, tudo muito gostoso, croissant sensacional!  O preço é um pouco salgado, mas se puder vale muito a pena.","['quarto', 'preço', 'café da manhã', 'hotel']"
"Viajamos eu e minha irmã. O hotel tem uma extrutura excelente! Elevadores modernos e rápidos. O quarto bem climatizado e roupas de cama novas e limpas. O café da manhã farto e variado. O fato de ser ao lado da gare Montparnasse facilitou a ida a Versailles, pois pudemos pegar um trem lá. O ponto negativo é que o metrô não é muito perto, (6 quadras grandes) e a caminhada no frio muito angustiante! Mas retornaria com certeza!","['elevador', 'café da manhã', 'hotel']"
"Estive por 8 dias hospedado neste hotel com minha familia e posso afirmar com todas as letras que este hotel cumpre o que promete em todos os quesitos oferecidos, e além de tudo é um dos único que oferecem um café da manhã aos moldes dos hotéis no Brasil, incluso na diária, sem contar que na recepção tem café, chocolate e biscoitos o dia inteiro..muita cortesia.  Voltarei com certeza","['café da manhã', 'recepção', 'hotel']"
Adorei a estadia. Porto Alegre foi sensacional. Os recepcionistas ajudaram muito. Local ideal para quem vai resolver assuntos ou mesmo para turistas. A localização achei muito boa... bem localizado no centro comercial da cidade... pode fazer umas comprinhas e encontrar produtos bem em conta além de ir andando para o evento.. possui restaurante próximo e a estrutura física do hotel está em reforma... os funcionários bem receptivos.... o elevador funcionando normalmente.,"['hotel', 'cidade', 'turista', 'funcionários', 'localização', 'elevador']"
"O hotel tem ótima localização, fizemos vários passeios a pé a partir dali. Os atendentes da recepção e também do restaurantes são muito simpáticos e atenciosos. O quarto e o banheiro sao espaçosos, novos, limpos e a internet funciona muito bem. O café-da-manhã é delicioso e bem servido. Pretendo voltar outras vezes e recomendo a todos!","['internet', 'quarto', 'hotel', 'recepção', 'localização']"
"Cheio de charme e bom gosto. Uma equipe agradavel e que faz de tudo para atender os hospedes. A decoracao e linda e o restaurante delicioso...  A localizacao nao poderia ser melhor - Saint Germain de Pres! Perto de tudo!    Pontos negativos:   Quartos muito pequenos, faltam duchas, armarios, mas o resto compensa!","['ducha', 'quarto']"
"O Audran fica pertinho do metrô e de Sacre-couer. Além de ter restaurantes próximos. Fiquei em quarto duplo, para dormir e descansar ele é ótimo, com um estilo clássico. Não tomamos café da manhã no hotel. O pessoal é muito simpático, não tivemos problemas. O hotel é barato, ficamos 4 dias, porém, as coisas em Paris são muito caras - água e comida. Tem wifi.","['hotel', 'quarto', 'café da manhã']"
"Estive com minha filha em outubro neste hotel. A localização é excelente , local privilegiado para compras e para pontos agitados da cidade. Quartos grandes e confortáveis. Café da manhã um pouco caro mas com qualidade. Funcionarios atenciosos. Ficamos no 28º andar mas o acesso é feito muito rápido. Guardam as malas até a sua saída. Ótimo hotel. Recomendo.","['localização', 'quarto', 'hotel', 'café da manhã', 'cidade']"
"Boa localização, perto da Times Square e Columbus Circle, bem central. Pode-se ir a pé para várias atrações turísticas ou apenas para flanar na cidade. Bons restaurantes e lanchonetes próximos. Funcionários prestativos e atenciosos. Pela categoria do hotel poderia ofertar wifi free para os hospedes pelo menos no lobby do hotel. O ponto negativo foi apenas que duas noites após chegarmos cansadas não havia toalhas no banheiro e tínhamos que pedir para trazer, mas eramos prontamente atendidas.","['funcionários', 'localização']"
"Quarto muito pequeno, porém a cama é confortável. A casa de banho é antiga e também bastante pequena. A limpeza razoável. O atendimento é interessante, simpática recepção (há uma funcionária brasileira que fala português). Não experimentámos o pequeno-almoço. A localização é talvez o ponto mais positivo do hotel: perto da estação Dupleix e a uma caminhada de 10 minutos da Torre Eiffel. Uma excelente opção para quem quer visitar Paris e ficar num sítio sem luxos, mas confortável.","['limpeza', 'localização', 'cama', 'recepção', 'atendimento']"
